achalasia;Achalasia is a rare disorder that makes it difficult for food and liquid to pass from the swallowing tube connecting your mouth and stomach (esophagus) into your stomach. Occurs when nerves in the esophagus become damaged.;There's no cure for achalasia. Once the esophagus is paralyzed, the muscle cannot work properly again. But symptoms can usually be managed with endoscopy, minimally invasive therapy or surgery.
acne;Acne starts when greasy secretions from the skin's sebaceous glands (oil glands) plug the tiny openings for hair follicles (plugged pores). If the openings are large, the clogs take the form of blackheads: small, flat spots with dark centers. If the openings stay small, the clogs take the form of whiteheads: small, flesh-colored bumps. Acne lesions are most common on the face, but they can also occur on the neck, chest, back, shoulders, and upper arms.;Nonprescription treatment for Acne includes soap and water, cleansers, benzoyl peroxide, salicylic acid, sulfur, topical retinol gel or creams, alcohol and acetone.
aids;Human immunodeficiency virus, or HIV, is the virus that causes AIDS. HIV weakens a person's ability to fight infections. It is mostly contracted through unprotected sex or needle sharing.;An HIV test confirms diagnosis. Medications suppress the virus to help you stay healthy, prevent the spread of HIV, and delay or prevent the onset of AIDS. With treatment, HIV-positive persons can live normal, healthy lives.
alcoholic hepatitis;Hepatitis is inflammation of the liver that leads to liver cell damage and cell death. Alcoholic hepatitis is caused by drinking too much alcohol. The liver breaks down alcohol and if, over time, you drink more alcohol than the liver can process, it can become seriously damaged.;Alcoholic hepatitis can be diagnosed through blood tests (liver function, blood cell counts, bleeding times, electrolyte tests), ultrasound of the abdomen, CT scan, MRI, liver biopsy
allergy;Allergy happens when your immune system reacts to something that’s usually harmless. Those triggers, which doctors call "allergens," can include pollen, mold, and animal dander, certain foods, or things that irritate your skin.;Skin testing is the most widely used and the most helpful in finding the cause of allergies. There are several different methods, but all involve exposing the skin to small amounts of various substances and observing the reactions over time. Specific IgE tests generally identify IgE antibodies to specific antigens, or allergy triggers. The body produces antibodies to fight invaders, or allergens. Other tests involve eliminating certain allergens from your environment and then re-introducing them to see if a reaction occurs.
alzheimer's disease; Alzheimer’s disease is the most common type of dementia. Dementia is a general term for symptoms of mental decline that interfere with a person’s daily life. It is not a normal part of aging.; Alzheimer's can be diagnosed with tests of memory, problem solving, attention, counting. Brain scans as CT scan, MRI and PET can be used to rule out other possible causes for this symptoms observing lesions in specific areas of the brain.
anemia;Anemia is a condition in which you lack enough healthy red blood cells to carry adequate oxygen to your body's tissues. Having anemia can make you feel tired and weak.;Treatments for anemia range from taking supplements to undergoing medical procedures. You might be able to prevent some types of anemia by eating a healthy, varied diet.
angina;Angina is a type of chest pain caused by reduced blood flow to the heart and can also be a symptom of coronary artery disease.;Stable angina is the most common form of angina. It usually happens when you exert yourself and goes away with rest. For example, pain that comes on when you're walking uphill or in the cold weather may be angina. If your chest pain lasts longer than a few minutes and doesn't go away when you rest or take your angina medications, it may be a sign you're having a heart attack.
ankylosing spondylitis;Ankylosing spondylitis is an inflammatory disease that, over time, can cause some of the small bones in your spine (vertebrae) to fuse. This fusing makes the spine less flexible and can result in a hunched-forward posture. If ribs are affected, it can be difficult to breathe deeply.;Seek medical attention if you have low back or buttock pain that came on slowly, is worse in the morning or awakens you from your sleep in the second half of the night — particularly if this pain improves with exercise and worsens with rest. See an eye specialist immediately if you develop a painful red eye, severe light sensitivity or blurred vision.
anorexia nervosa;Anorexia nervosa, also called anorexia, is a potentially life-threatening eating disorder that is characterized by self-starvation and excessive weight loss. The disorder is diagnosed when a person weighs at least 15% less than their normal/ideal body weight. Extreme weight loss in people with anorexia nervosa can lead to dangerous health problems and even death.;Treatment for anorexia must address both psychological and physical problems. The treatment team should include a mental health professional and a primary care doctor.
appendicitis;Appendicitis is an inflammation of the appendix.; It's a medical emergency that almost always requires surgery as soon as possible to remove the appendix.
arrhythmia;An arrhythmia is an uneven heartbeat. It means your heart is out of its usual rhythm. Arrhythmias can be an emergency, or they could be harmless. If you feel something unusual happening with your heartbeat, get medical help right away so doctors can find out why it's happening and what you need to do about it.;To diagnose arrhythmia or find its cause tests such as EKG, Holter monitor, Event monitor, Implantable loop recorder, Stress test, Echocardiogram, Cardiac catheterization, Electrophysiology study and Head-up tilt table test can be conducted by the doctor.
arthritis;Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis.;Treatments vary depending on the type of arthritis. The main goals of arthritis treatments are to reduce symptoms and improve quality of life.
asthma;Asthma is a condition in which your airways narrow and swell and may produce extra mucus. This can make breathing difficult and trigger coughing, a whistling sound (wheezing) when you breathe out and shortness of breath.; Asthma can't be cured, but its symptoms can be controlled. Because asthma often changes over time, it's important that you work with your doctor to track your signs and symptoms and adjust your treatment as needed. A major concern with atrial fibrillation is the potential to develop blood clots within the upper chambers of the heart.;
atopic dermatitis;Atopic dermatitis (eczema) is a condition that makes your skin red and itchy. It's common in children but can occur at any age. Atopic dermatitis is long lasting (chronic) and tends to flare periodically.;No lab test is needed to identify atopic dermatitis (eczema). Your doctor will likely make a diagnosis by examining your skin and reviewing your medical history.
atrial fibrillation;Atrial fibrillation is an irregular and often rapid heart rate that can increase your risk of strokes, heart failure and other heart-related complications. During atrial fibrillation, the heart's two upper chambers (the atria) beat chaotically and irregularly.;To diagnose atrial fibrillation or find its cause tests such as EKG, Holter monitor, Event monitor, Implantable loop recorder, Stress test, Echocardiogram, Cardiac catheterization, Electrophysiology study and Head-up tilt table test can be conducted by the doctor.
bipolar disorder;Bipolar disorder , also known as manic depression, is a mental illness that brings severe high and low moods and changes in sleep, energy, thinking, and behavior.;The evaluation to determine the diagnosis include physical exam, psychiatric assessment, mood charting and assessment of criteria for bipolar disorder published by the American Psychiatric Association.
carpal tunnel syndrome;Carpal tunnel syndrome is caused by pressure on the median nerve. The carpal tunnel is a narrow passageway surrounded by bones and ligaments on the palm side of your hand. When the median nerve is compressed, the symptoms can include numbness, tingling and weakness in the hand and arm.;Steps to a doctor diagnosis include physical examination, X-ray, Electromyography and Nerve conduction study.
cataracts;A cataract is a clouding of the normally clear lens of your eye. At first, stronger lighting and eyeglasses can help you deal with cataracts. But if impaired vision interferes with your usual activities, you might need cataract surgery. Fortunately, cataract surgery is generally a safe, effective procedure.; Steps to a doctor diagnosis include visual acuity test, slit-lamp examination and retinal exam.
cervical spondylosis;Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs).;Most people experience no symptoms from these problems. When symptoms do occur, nonsurgical treatments often are effective. Imaging tests such as neck X-ray, CT scan, MRI and myelography and nerve function tests including electromyography and nerve conduction study are performed for a concrete diagnosis.
chicken pox;Chicken pox is an infection caused by the varicella-zoster virus. It causes an itchy rash with small, fluid-filled blisters. In otherwise healthy children, chickenpox typically needs no medical treatment. Your doctor may prescribe an antihistamine to relieve itching. Chicken pox is highly contagious to people who haven't had the disease or been vaccinated against it.;The chickenpox vaccine is a safe, effective way to prevent chickenpox and its possible complications.
chronic cholestasis;Cholestasis is a liver disease. It occurs when the flow of bile from your liver is reduced or blocked. Bile is fluid produced by your liver that aids in the digestion of food, especially fats.;Blood tests may be ordered to test for liver enzymes that indicate cholestasis. If test results are abnormal, your doctor may order imaging tests like ultrasound or MRI. Your doctor may also perform a liver biopsy.
cold;The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.;There's no cure for the common cold. Most cases of the common cold get better without treatment, usually within a week to 10 days. But a cough may linger for a few more days.
concussion;A concussion is a traumatic brain injury that affects your brain function. Effects are usually temporary but can include headaches and problems with concentration, memory, balance and coordination. Concussions are usually caused by a blow to the head.;Your doctor will evaluate your signs and symptoms, review your medical history, conduct a neurological examination, cognitive testing and imaging tests.
copd;Chronic obstructive pulmonary disease (COPD) is a chronic inflammatory lung disease that causes obstructed airflow from the lungs. Symptoms include breathing difficulty, cough, mucus (sputum) production and wheezing. Emphysema and chronic bronchitis are the two most common conditions that contribute to COPD.;Tests to diagnose the severity of the condition may include: Lung function tests, chest X-ray, CT scan and arterial blood gas analysis. Many people with COPD have mild forms of the disease for which little therapy is needed other than smoking cessation.
coronary artery disease;Coronary artery disease develops when the major blood vessels that supply your heart become damaged or diseased. Cholesterol-containing deposits (plaques) in your coronary arteries and inflammation are usually to blame for coronary artery disease. Because coronary artery disease often develops over decades, you might not notice a problem until you have a significant blockage or a heart attack.;Tests to diagnose the severity of the condition may include: Electrocardiogram, echocardiogram, exercise stress test, nuclear stress test, cardiac catheterization and angiogram, cardiac CT scan.
crohn's disease;Crohn's disease is a type of inflammatory bowel disease (IBD). Inflammation caused by Crohn's disease can involve different areas of the digestive tract in different people. This inflammation often spreads into the deeper layers of the bowel.;The doctor will likely use a combination of tests to help confirm a diagnosis of Crohn's disease, including: blood tests, stool studies, colonoscopy, CT scan, MRI, capsule endoscopy, balloon-assisted enteroscopy.
chronic dermatitis;Chronic eczema (or dermatitis) refers to a longstanding irritable area. It is often darker than the surrounding skin, thickened and much scratched.;Dermatitis is often a long-term problem. When you notice your skin getting dry, moisturise your skin again and carefully avoid the use of soap. If the itchy rash returns, use both the moisturiser and the steroid cream or ointment. If it fails to improve within two weeks, see your doctor for further advice.
deep vein thrombosis;Deep vein thrombosis (DVT) occurs when a blood clot (thrombus) forms in one or more of the deep veins in your body, usually in your legs. You can get DVT if you have certain medical conditions that affect how your blood clots. A blood clot in your legs can also happen if you don't move for a long time, such as after you have surgery or an accident, when you're traveling a long distance, or when you're on bed rest.;Tests to diagnose the severity of the condition may include: D-dimer blood test, duplex ultrasound, venography, MRI.
degenerative disk disease;Degenerative disk disease is when normal changes that take place in the disks of your spine cause pain.;The doctor may order an X-ray or MRI to check for bone or nerve damage near your spine.
dengue;Dengue fever is a mosquito-borne illness that occurs in tropical and subtropical areas of the world. The severe form of dengue fever, also called dengue hemorrhagic fever, can cause serious bleeding, a sudden drop in blood pressure (shock) and death.;Diagnosing dengue fever can be difficult because its signs and symptoms can be easily confused with those of other diseases. For that reason, it is very important to be sure of the medical and travel history.
depression;Depression is a mood disorder that causes a persistent feeling of sadness and loss of interest. Also called major depressive disorder or clinical depression, it affects how you feel, think and behave and can lead to a variety of emotional and physical problems.;The diagnosis can be determined based on physical exam, blood tests, psychiatric evaluation and DSM-5 (criteria listed in Diagnostic and Statistical Manual of Mental Disorders).
diabetes 1;Type 1 diabetes, once known as juvenile diabetes or insulin-dependent diabetes, is a chronic condition in which the pancreas produces little or no insulin. Insulin is a hormone needed to allow sugar (glucose) to enter cells to produce energy.;Diagnostic tests include: Glycated hemoglobin (A1C) test, random blood sugar test, fasting blood sugar test.
diabetes 2;Type 2 diabetes is an impairment in the way the body regulates and uses sugar (glucose) as a fuel. This long-term (chronic) condition results in too much sugar circulating in the bloodstream. In type 2 diabetes, there are primarily two interrelated problems at work. Your pancreas does not produce enough insulin — a hormone that regulates the movement of sugar into your cells — and cells respond poorly to insulin and take in less sugar.;Diagnostic tests include: Glycated hemoglobin (A1C) test, random blood sugar test, fasting blood sugar test.
diarrhea;Diarrhea — loose, watery and possibly more-frequent bowel movements — is a common problem.;Most cases of diarrhea clear on their own within a couple of days without treatment.
diverticulitis;Diverticula are small, bulging pouches that can form in the lining of your digestive system. They are found most often in the lower part of the large intestine (colon). The presence of diverticula is known as diverticulosis. When one or more of the pouches become inflamed, and in some cases infected, that condition is known as diverticulitis.;A CT scan, which can identify inflamed or infected pouches and confirm a diagnosis of diverticulitis. CT can also indicate the severity of diverticulitis and guide treatment.
drug reaction;A drug allergy is the abnormal reaction of your immune system to a medication. Any medication — over-the-counter, prescription or herbal — is capable of inducing a drug allergy. However, a drug allergy is more likely with certain medications.;Physical examination and detailed information about the onset of symptoms, the time you took medications, and improvement or worsening of symptoms are important clues for helping to make a diagnosis.
ear infection;An ear infection (sometimes called acute otitis media) is an infection of the middle ear, the air-filled space behind the eardrum that contains the tiny vibrating bones of the ear.;An instrument called a pneumatic otoscope is often the only specialized tool a doctor needs to diagnose an ear infection. This instrument enables the doctor to look in the ear and judge whether there is fluid behind the eardrum. If there is any doubt about the diagnosis more tests can be performed such as tympanometry, acoustic, reflectometry and tympanocentesis.
endometriosis;Endometriosis is an often painful disorder in which tissue similar to the tissue that normally lines the inside of your uterus — the endometrium — grows outside your uterus. Endometriosis most commonly involves your ovaries, fallopian tubes and the tissue lining your pelvis. Rarely, endometrial-like tissue may be found beyond the area where pelvic organs are located.;The diagnosis can be determined based on  pelvic exam, ultrasound, MRI and laparoscopy,
fibromyalgia;Fibromyalgia is a disorder characterized by widespread musculoskeletal pain accompanied by fatigue, sleep, memory and mood issues. Researchers believe that fibromyalgia amplifies painful sensations by affecting the way your brain and spinal cord process painful and nonpainful signals.;In the past, doctors would check 18 specific points on a person's body to see how many of them were painful when pressed firmly. Newer guidelines from the American College of Rheumatology don't require a tender point exam. Instead, the main factor needed for a fibromyalgia diagnosis is widespread pain throughout your body for at least three months.
flu;Influenza is a viral infection that attacks your respiratory system — your nose, throat and lungs.;During times when influenza is widespread, you may not need to be tested for influenza. Your doctor may diagnose you based on your signs and symptoms.
food poisoning;Food poisoning, also called foodborne illness, is illness caused by eating contaminated food. Infectious organisms — including bacteria, viruses and parasites — or their toxins are the most common causes of food poisoning.;Food poisoning is often diagnosed based on a detailed history, including how long you've been sick, your symptoms and specific foods you've eaten. Your doctor will also perform a physical exam, looking for signs of dehydration.
fungal infection;A fungal infection, also called mycosis, is a skin disease caused by a fungus. Fungal skin infections can happen anywhere on your body. Some of the most common are athlete's foot, jock itch, ringworm, and yeast infections.;The doctor will ask about your medical history and do a physical exam. They might also take a sample from the affected area to look at under a microscope.
